,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
analyze.v,75.9,68.8,84.6,3.8,3.0,5.4,16.98293260894596
expose.v,62.2,83.2,49.6,2.1999999999999997,3.5000000000000004,1.6,11.697863052711808
conclude.v,46.5,97.1,30.599999999999998,2.3,20.7,1.2,10.341663309158735
appeal.v,46.800000000000004,93.30000000000001,31.3,2.4,10.7,1.3,10.598113039593416
owe.v,46.5,87.9,31.7,4.2,12.0,2.6,13.974977638622539
mount.v,20.8,25.7,17.5,14.399999999999999,16.2,13.100000000000001,17.306646122227146
regain.v,76.7,87.0,68.60000000000001,3.1,4.9,2.3,15.419792475905764
relax.v,56.49999999999999,82.8,42.9,4.2,8.3,2.8000000000000003,15.404544783926593
cultivate.v,23.200000000000003,15.9,42.3,23.3,18.7,31.0,23.249946236496978
violate.v,96.1,97.39999999999999,94.89999999999999,0.4,0.5,0.3,6.2
commit.v,68.60000000000001,92.10000000000001,54.7,2.4,7.7,1.5,12.831211945876353
pour.v,29.2,27.500000000000004,31.1,15.299999999999999,13.5,17.599999999999998,21.136697944570244
deny.v,80.4,97.39999999999999,68.5,1.5,5.2,0.8999999999999999,10.981803130633876
lay.v,39.5,50.8,32.300000000000004,4.9,7.000000000000001,3.8,13.912224840046253
shave.v,64.0,66.3,61.8,0.1,0.1,0.1,2.5298221281347035
weigh.v,26.1,19.0,41.5,41.699999999999996,35.6,50.4,32.99045316451412
apply.v,44.1,95.0,28.7,2.6,13.0,1.4000000000000001,10.70794097854485
level.v,37.3,32.2,44.2,41.8,39.2,44.800000000000004,39.485946867208334
presume.v,25.900000000000002,15.2,87.5,34.0,20.5,100.0,29.674905223100545
wait.v,98.0,98.8,97.1,0.2,0.2,0.1,4.427188724235731
stick.v,45.2,91.10000000000001,30.0,3.1,11.3,1.7999999999999998,11.837229405566152
separate.v,87.6,95.5,81.0,0.8,2.1,0.5,8.37137981458254
reap.v,86.8,86.8,86.8,1.6,1.6,1.6,11.784735890124988
signal.v,63.9,94.1,48.4,4.7,14.899999999999999,2.8000000000000003,17.330031736843416
swim.v,92.30000000000001,92.30000000000001,92.30000000000001,0.8999999999999999,0.8999999999999999,0.8999999999999999,9.114274518577988
slow.v,90.9,96.2,86.2,0.8,1.5,0.5,8.527602242131138
